author,total_prs_created,total_prs_merged,merge_rate,median_time_to_merge,days_active,recent_prs,product_impact_ratio,stability
clr182,34,21,0.6176470588235294,0.799224537037037,30,11,1.0,12.668142716325928
cvolzer3,24,20,0.8333333333333334,0.5637268518518519,14,17,1.0,12.727052800527733
daibhin,5,4,0.8,1.9519386574074074,4,0,1.0,6.619188692538206
danielalanbates,2,0,0.0,,2,2,1.0,
danielcarletti,9,8,0.8888888888888888,2.448431712962963,8,9,1.0,3.8534032247807586
danielxnj,17,13,0.7647058823529411,0.6207060185185185,13,9,1.0,85.41793306828276
daniloc,7,5,0.7142857142857143,0.18405092592592592,7,1,1.0,20.367996657911096
danjool,1,0,0.0,,1,0,1.0,
darkLord19,1,1,1.0,7.766828703703704,1,0,1.0,0.0
darkopia,36,13,0.3611111111111111,0.32127314814814817,20,10,1.0,74.31779508011964
david-is-back,1,0,0.0,,1,0,1.0,
dmarchuk,8,7,0.875,0.7337962962962963,7,8,1.0,0.7576925857579402
dmarticus,111,95,0.8558558558558559,0.9088194444444444,48,60,0.972972972972973,16.269643448126192
dmiska25,2,2,1.0,6.4598148148148145,2,0,1.0,24.95939150390625
dschofie,1,0,0.0,,1,1,1.0,
dustinbyrne,18,13,0.7222222222222222,0.7476041666666666,14,4,1.0,2.149131181883733
edwinyjlim,12,9,0.75,0.13576388888888888,8,2,1.0,3.6250334596121974
eli-r-ph,127,113,0.889763779527559,0.10971064814814815,65,44,0.9921259842519685,4.186423375919246
ericls,1,0,0.0,,1,0,1.0,
estefaniarabadan,49,43,0.8775510204081632,0.3181597222222222,35,24,1.0,6.978358386956856
fasyy612,58,50,0.8620689655172413,0.7744328703703705,35,18,1.0,4.900999463587962
feliperalmeida,2,0,0.0,,1,2,1.0,
fercgomes,72,40,0.5555555555555556,0.6752256944444445,33,44,0.8888888888888888,36.61736131594676
fivestarspicy,1,1,1.0,0.6893865740740741,1,0,1.0,0.0
frankh,48,44,0.9166666666666666,0.1127662037037037,30,11,1.0,8.850175768124213
fuziontech,46,42,0.9130434782608695,0.01960648148148148,18,6,1.0,0.0810752418504848
gantoine,27,18,0.6666666666666666,0.9094212962962963,15,26,1.0,3.2310497615265934
gdeglin,1,0,0.0,,1,0,1.0,
georgemunyoro,37,30,0.8108108108108109,3.492679398148148,27,18,0.8648648648648649,29.101408671263105
gesh,39,36,0.9230769230769231,0.7477604166666667,28,23,0.9743589743589743,31.510004359872603
gewenyu99,9,6,0.6666666666666666,5.641134259259259,7,5,0.8888888888888888,19.53482468597361
giulio-leone,1,0,0.0,,1,1,1.0,
grandhi02,2,0,0.0,,2,0,1.0,
gustavohstrassburger,83,66,0.7951807228915663,0.7431539351851852,48,26,1.0,19.63775740254075
haacked,148,120,0.8108108108108109,0.7376041666666666,60,72,1.0,82.1473465969379
harihran-del,32,2,0.0625,2.4527662037037037,9,0,1.0,5.365121296832133
harryautomazione,1,0,0.0,,1,1,1.0,
havenbarnes,84,73,0.8690476190476191,0.753449074074074,44,32,1.0,25.38729668947389
hbnordin2,1,0,0.0,,1,0,1.0,
hpouillot,60,53,0.8833333333333333,0.7708564814814814,36,25,0.9833333333333333,10.661855312646768
igormq,1,1,1.0,1.5715162037037036,1,0,1.0,0.0
ioannisj,4,4,1.0,10.588518518518518,4,2,1.0,673.1675915014533
ja-me-sk,1,0,0.0,,1,0,1.0,
jabahamondes,75,60,0.8,2.303061342592593,38,26,0.96,23.273131106247796
jaencarrodine,1,0,0.0,,1,1,1.0,
janpio,2,0,0.0,,1,2,1.0,
jeremylongshore,7,2,0.2857142857142857,5.171741898148148,3,0,1.0,1.7069694688585066
jericopingul,1,0,0.0,,1,1,1.0,
joethreepwood,1,1,1.0,0.17344907407407406,1,1,1.0,0.0
jonathanlab,9,9,1.0,0.8727199074074075,7,3,1.0,4.347323563950862
jonmcwest,136,115,0.8455882352941176,0.22135416666666666,44,22,0.9338235294117647,5.158288440607994
jordanm-posthog,83,61,0.7349397590361446,1.6828356481481481,54,34,1.0,39.16576388301708
jose-sequeira,100,86,0.86,0.6332175925925926,42,39,0.99,9.344325180069768
joshsny,95,73,0.7684210526315789,0.046157407407407404,47,32,0.9789473684210527,2.161068659948907
joshuaisaact,1,0,0.0,,1,0,1.0,
jshorwitz,1,0,0.0,,1,0,1.0,
jurajmajerik,59,55,0.9322033898305084,0.5550694444444444,40,32,1.0,7.374335290776649
jverre,1,0,0.0,,1,0,1.0,
k11kirky,10,10,1.0,0.756267361111111,10,2,1.0,3.877785143529235
kappa90,77,65,0.8441558441558441,1.8547569444444445,32,26,0.935064935064935,72.94547801810045
kliment-slice,1,1,1.0,5.491608796296297,1,1,1.0,0.0
kriscoleman,2,0,0.0,,1,0,1.0,
ksvat,47,35,0.7446808510638298,1.0546296296296296,28,5,0.9148936170212766,47.3348903790647
kurekszymon,2,1,0.5,0.018692129629629628,2,1,1.0,0.0
kyleswank,2,0,0.0,,2,1,1.0,
langesven,4,2,0.5,0.024172453703703703,4,0,1.0,0.00030888876162765775
learkonas,1,0,0.0,,1,1,1.0,
lmenezes,34,30,0.8823529411764706,0.8611400462962964,27,18,1.0,5.4742609504715665
lricoy,73,59,0.8082191780821918,0.8794212962962963,38,21,1.0,141.44745846506183
lshaowei18,14,3,0.21428571428571427,9.031446759259259,10,0,1.0,473.2583868962013
lucasheriques,29,27,0.9310344827586207,1.522372685185185,16,6,1.0,17.595005942075783
luke-belton,67,43,0.6417910447761194,0.8852083333333334,42,27,0.8955223880597015,27.74820363787837
manan19,1,0,0.0,,1,1,1.0,
mango766,1,0,0.0,,1,1,1.0,
manthankhawse,1,0,0.0,,1,1,1.0,
marandaneto,5,5,1.0,1.0483564814814814,5,4,1.0,0.9892237526470338
mariusandra,76,61,0.8026315789473685,0.19214120370370372,39,27,1.0,7.1733152476531234
masylum,1,0,0.0,,1,0,1.0,
matheus-vb,27,20,0.7407407407407407,1.0605324074074074,21,13,1.0,9.436719194250204
matt-metivier,6,0,0.0,,3,2,1.0,
maycuatroi1,1,0,0.0,,1,1,1.0,
meikelmosby,86,65,0.7558139534883721,0.763912037037037,47,23,0.9767441860465116,22.09920811366417
