author,total_prs_created,total_prs_merged,merge_rate,median_time_to_merge,days_active,recent_prs,product_impact_ratio,stability,median_time_to_merge_inv,activity_score,merge_rate_norm,total_prs_merged_norm,median_time_to_merge_inv_norm,product_impact_ratio_norm,activity_score_norm,days_active_norm,recent_prs_norm,stability_norm,impact_score
Greeva48,2,0,0.0,,2,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.012987012987012988,0.0,0.0,0.001948051948051948
HarshadaGawas05,2,0,0.0,,2,2,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.012987012987012988,0.017094017094017096,0.0,0.0036574536574536577
Hettbhutak,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Illumiknight07,1,0,0.0,,1,1,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.008547008547008548,0.0,0.0008547008547008548
JJCLane,1,1,1.0,1.1018287037037038,1,0,1.0,0.0,0.9075820920607575,0.9075820920607575,1.0,0.004484304932735426,0.016782036831414743,1.0,0.00041904205186900345,0.0,0.0,0.0,0.25425326835283
JasonLovesDoggo,2,0,0.0,,1,2,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.017094017094017096,0.0,0.0017094017094017096
JiwaniZakir,1,0,0.0,,1,1,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.008547008547008548,0.0,0.0008547008547008548
KaranPradhan266,1,1,1.0,10.463101851851851,1,0,1.0,0.0,0.09557395255815189,0.09557395255815189,1.0,0.004484304932735426,0.00160105598421378,1.0,3.997785200460263e-05,0.0,0.0,0.0,0.25121707218338984
KarloAldrete,1,0,0.0,,1,1,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.008547008547008548,0.0,0.0008547008547008548
KevinRSDNguyen,2,0,0.0,,1,2,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.017094017094017096,0.0,0.0017094017094017096
KyeongJooni,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mah1ndra,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MarconLP,34,23,0.6764705882352942,0.8898148148148148,20,15,0.8823529411764706,6.435313289275398,1.1238293444328824,25.848074921956297,0.6764705882352942,0.1031390134529148,0.02082490935549063,0.8823529411764706,0.012061841549641579,0.24675324675324675,0.1282051282051282,0.005947667493580976,0.24433869820336257
MattBro,100,72,0.72,0.9823784722222222,43,60,0.96,23.998567835093844,1.0179376159759654,73.29150835026951,0.72,0.32286995515695066,0.018845199764690027,0.96,0.0342095347271258,0.5454545454545454,0.5128205128205128,0.02218003932196397,0.3836612680167576
MattPua,65,53,0.8153846153846154,0.7240856481481481,13,65,0.9846153846153848,1.181520643733246,1.3810520931570787,73.19576093732518,0.8153846153846154,0.23766816143497757,0.025633843443563127,0.9846153846153848,0.03416483761793295,0.15584415584415584,0.5555555555555556,0.001091989093590555,0.33554793266340005
MichaelKutsch-ph,6,5,0.8333333333333334,0.4436921296296296,5,3,1.0,74.27750134181026,2.2538150515194992,11.269075257597496,0.8333333333333334,0.02242152466367713,0.04195067219254865,1.0,0.0052560269601736554,0.05194805194805195,0.02564102564102564,0.06864900905000779,0.23842898396588963
MikeAthie,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MuzzaiyyanHussain,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NewSmoke38,2,0,0.0,,2,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.012987012987012988,0.0,0.0,0.001948051948051948
Nezz,1,1,1.0,0.0658333333333333,1,0,1.0,0.0,15.189873417721527,15.189873417721527,1.0,0.004484304932735426,0.28379806847096567,1.0,0.007086346319173703,0.0,0.0,0.0,0.3076564746807402
Niceplace,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Piccirello,105,95,0.9047619047619048,0.1535416666666666,43,35,0.9809523809523808,4.822148380273672,6.5128900949796495,618.7245590230667,0.9047619047619048,0.4260089686098655,0.12157664330801761,0.9809523809523808,0.2888303111389608,0.5454545454545454,0.29914529914529914,0.004456742645051122,0.4478859845712696
ProCO-RPHopkins,2,1,0.5,43.31486111111112,2,0,1.0,0.0,0.023086764550273028,0.023086764550273028,0.5,0.004484304932735426,0.00024586438048289973,1.0,6.139154353790697e-06,0.012987012987012988,0.0,0.0,0.1278940858106956
Radu-Raicea,52,44,0.8461538461538461,0.7313310185185184,31,25,1.0,12.45036282129579,1.3673698703847312,60.16427429692818,0.8461538461538461,0.19730941704035873,0.02537804605465841,1.0,0.02808143793746723,0.38961038961038963,0.21367521367521367,0.01150691736467861,0.33703572570301266
ReeceJones,95,85,0.8947368421052632,1.7569907407407408,48,46,1.0,43.24862016428006,0.5691549629785776,48.3781718531791,0.8947368421052632,0.3811659192825112,0.010454937982483445,1.0,0.022579412434254563,0.6103896103896104,0.39316239316239315,0.03997138922855496,0.43688020177685105
Sahilarora83,1,0,0.0,,1,1,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.008547008547008548,0.0,0.0008547008547008548
SaraMiteva,1,1,1.0,12.88888888888889,1,1,1.0,0.0,0.07758620689655173,0.07758620689655173,1.0,0.004484304932735426,0.001264764253763462,1.0,3.1580755861261655e-05,0.0,0.008547008547008548,0.0,0.25200451469200064
Sireeshreddy01,1,0,0.0,,1,1,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.008547008547008548,0.0,0.0008547008547008548
Suhaib3100,2,0,0.0,,2,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.012987012987012988,0.0,0.0,0.001948051948051948
TueHaulund,78,63,0.8076923076923077,0.3619675925925926,41,46,0.9615384615384616,26.18087861510197,2.7626782630939437,174.04873057491847,0.8076923076923077,0.2825112107623318,0.05146417617477323,0.9615384615384616,0.0812453388836476,0.5194805194805194,0.39316239316239315,0.024196982134798987,0.3883761697622951
Twixes,110,73,0.6636363636363637,0.9878125,46,55,0.9363636363636364,27.958233024316552,1.012337867763366,73.90066434672572,0.6636363636363637,0.3273542600896861,0.018740509101839418,0.9363636363636364,0.034493902850000424,0.5844155844155844,0.4700854700854701,0.02583965477078011,0.3723828948953587
Vitor-Bukovitz,1,0,0.0,,1,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VojtechBartos,27,21,0.7777777777777778,0.6492245370370371,14,27,1.0,3.8285869535728674,1.5402991460610058,32.34628206728112,0.7777777777777778,0.09417040358744394,0.02861106293496942,1.0,0.015095355097430077,0.16883116883116883,0.23076923076923078,0.0035384698687571654,0.2677561831374013
a-lider,60,42,0.7,0.9477777777777778,35,21,0.9833333333333332,215.92124691216088,1.0550996483001172,44.31418522860492,0.7,0.18834080717488788,0.019539966323682382,0.9833333333333332,0.020682249384820755,0.44155844155844154,0.1794871794871795,0.19955948121020414,0.32071458700321864
abalinda,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
abheek9,2,2,1.0,1.446857638888889,2,0,1.0,1.976058220037348,0.6911530015958914,1.3823060031917829,1.0,0.008968609865470852,0.012735764734762057,1.0,0.0006406541648209866,0.012987012987012988,0.0,0.001826319358892156,0.2564715588039877
abhischekt,25,15,0.6,0.967662037037037,19,3,0.88,2.625426628041171,1.0334186541635768,15.501279812453653,0.6,0.06726457399103139,0.019134627090338356,0.88,0.007231718034196287,0.23376623376623376,0.02564102564102564,0.0024264808736515478,0.20515152593267674
abigailbramble,2,1,0.5,2.0296875,2,0,1.0,0.0,0.49268668206312544,0.49268668206312544,0.5,0.004484304932735426,0.009025317450961499,1.0,0.0002253592684494904,0.012987012987012988,0.0,0.0,0.12964997642479134
ablaszkiewicz,83,66,0.7951807228915663,0.2271585648148148,51,48,0.963855421686747,6.592405526391201,4.4022112959519015,290.5459455328255,0.7951807228915663,0.29596412556053814,0.08211623292067745,0.963855421686747,0.1356289360745578,0.6493506493506493,0.41025641025641024,0.0060928558239991175,0.413448776429773
adamleithp,118,101,0.8559322033898306,0.2220138888888889,58,39,0.9830508474576272,8.237926634574272,4.50422270878949,454.92649358773843,0.8559322033898306,0.452914798206278,0.08402339767574006,0.9830508474576272,0.21236558179325177,0.7402597402597403,0.3333333333333333,0.007613685030784137,0.46650435289923403
adboio,189,150,0.7936507936507936,1.698258101851852,63,49,0.9206349206349206,22.913351744728224,0.5888386452622001,88.32579678933001,0.7936507936507936,0.672645739910314,0.010822936268723658,0.9206349206349206,0.04122788865788069,0.8051948051948052,0.4188034188034188,0.02117705715558907,0.49988370202362753
advaitpaliwal,2,0,0.0,,1,2,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.017094017094017096,0.0,0.0017094017094017096
ahmedhesham6,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
akramcodez,2,0,0.0,,2,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.012987012987012988,0.0,0.0,0.001948051948051948
am-design-works,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
andehen,66,56,0.8484848484848485,0.1544097222222222,38,42,1.0,19.37728787889635,6.4762761412188,362.6714639082528,0.8484848484848485,0.25112107623318386,0.12089212340760844,1.0,0.16929879796723996,0.4805194805194805,0.358974358974359,0.017908943986167505,0.3962901044233453
andre347,1,1,1.0,0.1009259259259259,1,1,1.0,0.0,9.908256880733948,9.908256880733948,1.0,0.004484304932735426,0.18505506875253608,1.0,0.004620765434959722,0.0,0.008547008547008548,0.0,0.2887625755917551
andrewjmcgehee,88,72,0.8181818181818182,0.3201273148148148,42,19,0.9431818181818182,56.320994092754326,3.123757185726165,224.9105173722839,0.8181818181818182,0.32286995515695066,0.058214763936326235,0.9431818181818182,0.10498879855860471,0.5324675324675324,0.1623931623931624,0.05205318384885639,0.3820771628584417
andrewm4894,295,223,0.7559322033898305,0.1494907407407407,65,106,0.9728813559322034,11.830064859073476,6.689377516258905,1491.7311861257358,0.7559322033898305,1.0,0.12487618186172403,0.9728813559322034,0.6963700173070548,0.8311688311688312,0.905982905982906,0.010933623437809108,0.6303252648371986
andyzzhao,67,42,0.6268656716417911,0.8128761574074075,53,21,1.0,8.31333306954255,1.2301996938739186,51.66838714270458,0.6268656716417911,0.18834080717488788,0.022813567053630936,1.0,0.02411536110943603,0.6753246753246753,0.1794871794871795,0.0076833774267728566,0.31896304974624806
anirudhpillai,47,40,0.851063829787234,1.6139872685185184,32,20,0.9787234042553192,29.21114220515842,0.6195835738641865,24.78334295456746,0.851063829787234,0.17937219730941703,0.011397731211716737,0.9787234042553192,0.011564800015629956,0.4025974025974026,0.17094017094017094,0.026997622824910607,0.3311033329171538
annaszell,3,1,0.3333333333333333,0.0852199074074074,3,3,1.0,0.0,11.734347412739375,11.734347412739375,0.3333333333333333,0.004484304932735426,0.21919493021822334,1.0,0.005473226774594328,0.025974025974025976,0.02564102564102564,0.0,0.13452938682373153
annikaschmid,1,1,1.0,1.185717592592593,1,1,1.0,0.0,0.843371141869863,0.843371141869863,1.0,0.004484304932735426,0.015581574474441761,1.0,0.0003890668936500799,0.0,0.008547008547008548,0.0,0.25486787673613626
antlio,1,1,1.0,55.95908564814815,1,0,1.0,0.0,0.017870199064503354,0.017870199064503354,1.0,0.004484304932735426,0.000148337549315729,1.0,3.7039408064058243e-06,0.0,0.0,0.0,0.25092652849641023
anujsb,1,0,0.0,,1,1,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.008547008547008548,0.0,0.0008547008547008548
api2062,1,0,0.0,,1,1,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.008547008547008548,0.0,0.0008547008547008548
arthurdedeus,93,80,0.8602150537634409,1.0216319444444446,50,19,0.978494623655914,9.096296044880829,0.9788260884342179,78.30608707473743,0.8602150537634409,0.35874439461883406,0.018113986219368,0.978494623655914,0.036550456177755396,0.6363636363636364,0.1623931623931624,0.008407010174359146,0.4029600023197983
ashlibaldwin,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aspicer,33,18,0.5454545454545454,2.178130787037037,27,17,0.9393939393939394,332.96435368293345,0.4591092536552057,8.263966565793703,0.5454545454545454,0.08071748878923767,0.008397567219453807,0.9393939393939394,0.0038531726458536867,0.33766233766233766,0.1452991452991453,0.307733465940423,0.25013925933868214
